id,application_id,config_id,window_timestamp,score,severity,root_cause,evidence,created_at
00d651a7-cac2-4688-bd76-43f042bcec8d,1,1,2026-04-24 17:41:51.867216+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.011198170799999999,""latency_std"":0.000025951999999999226,""disk_io_rate"":0.005933333333329452,""memory_usage"":77383680,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.0058590401358337325,""failure_streak"":0,""net_throughput"":230.0974951181059,""memory_pressure"":0.12579625253769094,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0.0627754300267961}",2026-04-24 17:41:53.655834+00
00ea092d-8e26-4330-87d6-0f769f8b4aad,1,1,2026-04-23 12:30:07.306249+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.012274683783333332,""latency_std"":0.00041778216666666664,""disk_io_rate"":0.0035333333333255725,""memory_usage"":51684010.666666664,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.00574013996884326,""failure_streak"":0,""net_throughput"":152.61128638893237,""memory_pressure"":0.1280307077154713,""memory_growth_rate"":-82002.96023759044,""cpu_container_vs_node_ratio"":0.07390738157335833}",2026-04-23 12:30:11.20059+00
01406f1a-9a06-4fc9-9c5d-bdf76cb472e3,1,1,2026-04-24 18:35:45.001076+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.01165377685,""latency_std"":0.0002822143333333334,""disk_io_rate"":0.004133333333326542,""memory_usage"":25742677.333333332,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.006341581129776064,""failure_streak"":0,""net_throughput"":239.2767316973693,""memory_pressure"":0.12616747504709985,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0.05747656613074291}",2026-04-24 18:35:47.35294+00
016612ce-b998-448d-9b25-e9b4ee9ee61a,1,1,2026-05-24 08:13:46.26031+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.011677289799999999,""latency_std"":0.0001117319999999998,""disk_io_rate"":0.00583333333330908,""memory_usage"":88745984,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.004253939095765085,""failure_streak"":0,""net_throughput"":230.933245858619,""memory_pressure"":0.1604351641160636,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0.03467885132410808}",2026-05-24 08:13:49.867825+00
01766ae6-c961-45a0-afae-2ea398add028,1,1,2026-04-24 17:53:46.111371+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.011822409749999999,""latency_std"":0.00019178166666666626,""disk_io_rate"":0.0028000000000247384,""memory_usage"":51583658.666666664,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.0060450468018552455,""failure_streak"":0,""net_throughput"":228.80915236609462,""memory_pressure"":0.08452532548179391,""memory_growth_rate"":15992023.363984285,""cpu_container_vs_node_ratio"":0.044448873543084404}",2026-04-24 17:53:47.405516+00
0176d835-1e63-4ccb-987f-63fe5893c5c2,1,1,2026-04-23 13:52:07.085809+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.007575465366666667,""latency_std"":0.000015149666666666785,""disk_io_rate"":0.0064666666666501746,""memory_usage"":51268266.666666664,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.005798950453895472,""failure_streak"":0,""net_throughput"":235.52844606044889,""memory_pressure"":0.12727248133318905,""memory_growth_rate"":24191.173422471245,""cpu_container_vs_node_ratio"":0.06986687293832396}",2026-04-23 13:52:15.572683+00
01787d4a-d2e3-4ab9-893b-703565fb172d,1,1,2026-04-24 19:04:03.499479+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.0076941946,""latency_std"":0.000010894000000000586,""disk_io_rate"":0.004644444444440726,""memory_usage"":77115392,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.0060519218481923116,""failure_streak"":0,""net_throughput"":239.0960755960588,""memory_pressure"":0.1296759140079481,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0.06453437257129764}",2026-04-24 19:04:06.559379+00
017ed664-0704-4c92-99dd-10e642d108b4,1,1,2026-04-23 18:16:45.344949+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.01104515985,""latency_std"":0.00008584150000000073,""disk_io_rate"":0.006066666666629317,""memory_usage"":77221888,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.00378904010651584,""failure_streak"":0,""net_throughput"":240.57146726250932,""memory_pressure"":0.1296875861688634,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0.04133498298010445}",2026-04-23 18:16:46.916517+00
01865710-f15c-4d2c-bba2-7241e989aba1,1,1,2026-04-24 11:46:41.074096+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.011326626916666667,""latency_std"":0.00016397083333333286,""disk_io_rate"":0.0057333333333493405,""memory_usage"":77264213.33333333,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.005960542969199519,""failure_streak"":0,""net_throughput"":148.504408724634,""memory_pressure"":0.08592716099156537,""memory_growth_rate"":-41698717.63640634,""cpu_container_vs_node_ratio"":0.06341003158726487}",2026-04-24 11:46:42.926238+00
018c7caf-f00c-4945-9619-c9a27e13c13a,1,1,2026-04-23 18:24:35.616791+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.0120492261,""latency_std"":0.0003051789999999996,""disk_io_rate"":0.005366666666668607,""memory_usage"":77099008,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.005810806215826323,""failure_streak"":0,""net_throughput"":239.38250195518378,""memory_pressure"":0.12784541010467587,""memory_growth_rate"":17363342.94460002,""cpu_container_vs_node_ratio"":0.06138175580087471}",2026-04-23 18:24:36.404606+00
01a88dab-0cce-4bbd-97c7-98bd3a57d907,1,1,2026-04-20 17:59:17.701153+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.0117210659,""latency_std"":0.0001138939999999998,""disk_io_rate"":0.006233333333329938,""memory_usage"":77662208,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.003956818364248156,""failure_streak"":0,""net_throughput"":242.16573217295587,""memory_pressure"":0.1266340358938501,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0.0477686243448383}",2026-04-20 17:59:18.504699+00
01d9bf10-990f-488c-b3f3-666cf6d26c47,1,1,2026-04-24 17:58:26.224953+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.007323033,""latency_std"":0.000031575000000000266,""disk_io_rate"":0.0030000000000048508,""memory_usage"":77129728,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.0058342301393565065,""failure_streak"":0,""net_throughput"":235.28625380167776,""memory_pressure"":0.08385347203698763,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0.048822009534309777}",2026-04-24 17:58:29.084264+00
01eb828d-f3fe-48f0-b48a-945505ae3c24,1,1,2026-04-25 10:57:52.296468+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.011432126016666667,""latency_std"":0.00011040416666666644,""disk_io_rate"":0.004066666666646294,""memory_usage"":51184981.333333336,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.005915348352110414,""failure_streak"":0,""net_throughput"":231.09704384831875,""memory_pressure"":0.08494357093535278,""memory_growth_rate"":-3008864.382864367,""cpu_container_vs_node_ratio"":0.06721986763774748}",2026-04-25 10:58:01.51571+00
022811f5-c198-4c7f-a4ed-1009c6112c7c,1,1,2026-04-23 12:27:04.098229+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.0121227367,""latency_std"":0.0004328029999999994,""disk_io_rate"":0.0042666666666870395,""memory_usage"":77303808,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.0038772363981424214,""failure_streak"":0,""net_throughput"":236.41614614816308,""memory_pressure"":0.12707305084403386,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0.049078941748738204}",2026-04-23 12:27:07.860769+00
02289fb7-2ef2-4184-9071-ff75783c6d94,1,1,2026-04-23 19:05:31.699588+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.0137783561,""latency_std"":0.0004692163333333333,""disk_io_rate"":0.0037777777777793947,""memory_usage"":77432832,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.0057094601159362835,""failure_streak"":0,""net_throughput"":228.00142500890632,""memory_pressure"":0.1238108965119631,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0.0713682514491873}",2026-04-23 19:05:33.3001+00
02434e45-7954-4807-b2f0-3cb315a811f7,1,1,2026-04-18 14:39:57.855271+00,0.62,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":false,""latency_p95"":0.0076500373333333324,""latency_std"":0.0002499133333333338,""disk_io_rate"":0,""memory_usage"":50652501.333333336,""restart_flag"":0,""cpu_usage_rate"":0.002336891006821694,""failure_streak"":60,""net_throughput"":76.59333725003808,""memory_pressure"":0.04111141359078042,""memory_growth_rate"":31080974.190240655,""cpu_container_vs_node_ratio"":0.0011739238145402964}",2026-04-18 14:39:59.703978+00
025e6ab9-0084-4d8c-8ff9-bd4c526d1d56,1,1,2026-05-24 17:36:26.039725+00,0.517754171477299,WARNING,,"{""strategy"":""ML_CONFIRMED"",""raw_values"":{""error_rate"":0,""latency_p95"":0.01141751895,""latency_std"":0.000015340500000000142,""disk_io_rate"":0.005733333333409973,""memory_usage"":85383168,""restart_flag"":0,""cpu_usage_rate"":0.005745287000524053,""failure_streak"":0,""net_throughput"":247.60832864378168,""memory_pressure"":0.15096949898957707,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0.06290460219572222},""ml_confidence"":0.5178,""root_cause_analysis"":{""impact_1"":""memory_usage"",""impact_2"":""memory_pressure"",""impact_3"":""net_throughput"",""impact_1_score"":13.92,""impact_2_score"":3.89,""impact_3_score"":1.57}}",2026-05-24 12:06:27.932925+00
0297dd59-a8b7-4472-adc1-9512e47299fa,1,1,2026-04-25 13:22:29.168124+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.0119644881,""latency_std"":0.00039721899999999944,""disk_io_rate"":0.003033333333284342,""memory_usage"":76984320,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.00578011120040033,""failure_streak"":0,""net_throughput"":235.7984994640943,""memory_pressure"":0.0861138005937462,""memory_growth_rate"":60120542.16996481,""cpu_container_vs_node_ratio"":0.07048916098067158}",2026-04-25 13:22:29.814022+00
0299479d-38e0-403a-b881-88127344d8a9,1,1,2026-04-24 19:31:29.037331+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.0117753011,""latency_std"":0.0001874089999999995,""disk_io_rate"":0.00333333333334546,""memory_usage"":77463552,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.0037673638812454227,""failure_streak"":0,""net_throughput"":162.7990333807393,""memory_pressure"":0.12855806766428107,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0.052083371630048364}",2026-04-24 19:31:32.926952+00
02a4b717-37e1-4d74-b80c-aec104a212f6,1,1,2026-04-20 17:48:54.055098+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.013153144383333334,""latency_std"":0.000735566166666667,""disk_io_rate"":0.006400000000030559,""memory_usage"":78053376,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.006011247376697133,""failure_streak"":0,""net_throughput"":230.84994753410285,""memory_pressure"":0.12518969134743538,""memory_growth_rate"":-189510.02107823352,""cpu_container_vs_node_ratio"":0.06349909200738878}",2026-04-20 17:48:56.369588+00
02a90c1a-9704-4c61-b50a-2a2f5c7e3c82,1,1,2026-04-25 13:22:36.800848+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.0119644881,""latency_std"":0.00039721899999999944,""disk_io_rate"":0.006133333333309565,""memory_usage"":76907861.33333333,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.0059471755212558075,""failure_streak"":0,""net_throughput"":155.34061845397756,""memory_pressure"":0.1280812052453018,""memory_growth_rate"":-133872.2834716537,""cpu_container_vs_node_ratio"":0.05646052710042172}",2026-04-25 13:22:38.573572+00
02ab2785-a6a9-4672-bcf6-ee1f09f7f257,1,1,2026-04-23 12:15:01.883031+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.01171902435,""latency_std"":0.00011353099999999976,""disk_io_rate"":0.0020444444444567326,""memory_usage"":77154304,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.00607993920973781,""failure_streak"":0,""net_throughput"":239.98649105032084,""memory_pressure"":0.12725807906558984,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0.08035161951229815}",2026-04-23 12:15:06.815638+00
02b35188-4990-4b73-aff8-59c10ec5b68b,1,1,2026-04-18 14:58:34.842834+00,0.8,CRITICAL,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0,""latency_std"":0.00015019016666666685,""disk_io_rate"":0,""memory_usage"":0,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.0018653782731929943,""failure_streak"":3,""net_throughput"":0,""memory_pressure"":0,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0}",2026-04-18 14:58:37.36092+00
02d51ab4-f589-4c55-aa85-4301f91c3fab,1,1,2026-04-18 14:51:18.168355+00,0.8,CRITICAL,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.0039607164499999995,""latency_std"":0,""disk_io_rate"":0,""memory_usage"":0,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0,""failure_streak"":29,""net_throughput"":77.18536547928385,""memory_pressure"":0,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0}",2026-04-18 14:51:19.311518+00
02ea7f67-e3a6-448b-9c73-f56cabfc261e,1,1,2026-04-24 18:27:02.258976+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.007324747733333334,""latency_std"":0.00010995399999999935,""disk_io_rate"":0.00312222222219134,""memory_usage"":77352960,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.005707305692585909,""failure_streak"":0,""net_throughput"":234.63538194907346,""memory_pressure"":0.08444812923364692,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0.06729878457698343}",2026-04-24 18:27:04.919606+00
02f58831-d7e0-4972-a3c8-7cbe934f288e,1,1,2026-04-18 14:48:49.66456+00,0.8,CRITICAL,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.0037555315666666666,""latency_std"":0.00001018433333333319,""disk_io_rate"":0,""memory_usage"":0,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0,""failure_streak"":8,""net_throughput"":0,""memory_pressure"":0,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0}",2026-04-18 14:48:50.732123+00
0301698b-4a90-4bc7-b38e-e1a7e536ffd9,1,1,2026-04-24 18:25:44.116907+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.01148844705,""latency_std"":0.00012152633333333343,""disk_io_rate"":0.0029997000300018505,""memory_usage"":51365205.333333336,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.006054597701132739,""failure_streak"":0,""net_throughput"":237.99864773495608,""memory_pressure"":0.08457594325134461,""memory_growth_rate"":45623096.07222454,""cpu_container_vs_node_ratio"":0.06441705490301293}",2026-04-24 18:25:47.226275+00
030fbbf8-db53-41e7-8e2e-17604752df9d,1,1,2026-04-20 17:50:13.759117+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.007761082400000001,""latency_std"":0.00019127399999999996,""disk_io_rate"":0.004133333333326543,""memory_usage"":77557760,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.005661443299005313,""failure_streak"":0,""net_throughput"":161.28293241695303,""memory_pressure"":0.08405752774323956,""memory_growth_rate"":-4644471.490747685,""cpu_container_vs_node_ratio"":0.06904428261721818}",2026-04-20 17:50:20.046405+00
03122a45-4c61-49ef-839f-6203e564c972,1,1,2026-04-25 13:26:33.069416+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.01231124795,""latency_std"":0.0005847504999999999,""disk_io_rate"":0.004811111111121136,""memory_usage"":76466176,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.005997463558674565,""failure_streak"":0,""net_throughput"":226.03223527900855,""memory_pressure"":0.12877162675961215,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0.06809238087060622}",2026-04-25 13:26:33.958925+00
03310808-8181-4cf4-9631-a6d188edcf93,1,1,2026-04-24 18:02:44.158112+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.011001663100000001,""latency_std"":0.00025992899999999946,""disk_io_rate"":0.003988888888872882,""memory_usage"":77176832,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.0019021895169973708,""failure_streak"":0,""net_throughput"":238.73308691376445,""memory_pressure"":0.04234220833953096,""memory_growth_rate"":49794120.392987445,""cpu_container_vs_node_ratio"":0.021372915921345034}",2026-04-24 18:02:48.492026+00
03464c14-ed0d-459a-9534-9893b8c46ab1,1,1,2026-04-25 07:46:13.475385+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.011209713183333333,""latency_std"":0.00012117816666666629,""disk_io_rate"":0.00513333333334837,""memory_usage"":76737877.33333333,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.0037722302024542943,""failure_streak"":0,""net_throughput"":232.74370089950062,""memory_pressure"":0.08443564281212988,""memory_growth_rate"":8207339.735918082,""cpu_container_vs_node_ratio"":0.049588306495172506}",2026-04-25 07:46:24.620095+00
036e2ac8-f849-475b-93ed-421a7653699e,1,1,2026-04-24 17:21:37.807711+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.01118085855,""latency_std"":0.000044674499999999784,""disk_io_rate"":0.0030000000000048508,""memory_usage"":77352960,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.005716493992238131,""failure_streak"":0,""net_throughput"":233.02770514051173,""memory_pressure"":0.12707271263751005,""memory_growth_rate"":103680.05861657433,""cpu_container_vs_node_ratio"":0.04448633456993092}",2026-04-24 17:21:42.003835+00
039fa746-8717-43bf-bcdc-749d1ae72b37,1,1,2026-05-24 17:34:27.361367+00,0.512224744815789,WARNING,,"{""strategy"":""ML_CONFIRMED"",""raw_values"":{""error_rate"":0,""latency_p95"":0.011992236900000001,""latency_std"":0.0004286510000000004,""disk_io_rate"":0.003166666666705472,""memory_usage"":84936704,""restart_flag"":0,""cpu_usage_rate"":0.005881392783938579,""failure_streak"":0,""net_throughput"":221.8370883882149,""memory_pressure"":0.14870626339058593,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0.06583648638704662},""ml_confidence"":0.5122,""root_cause_analysis"":{""impact_1"":""memory_usage"",""impact_2"":""memory_pressure"",""impact_3"":""net_throughput"",""impact_1_score"":15.75,""impact_2_score"":5.08,""impact_3_score"":1.78}}",2026-05-24 12:06:02.855282+00
03c3fc65-58f3-4656-bbd8-e714f2a8cab8,1,1,2026-04-23 12:21:37.26137+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.01523557515,""latency_std"":0.0018477736666666666,""disk_io_rate"":0.002966666666664726,""memory_usage"":77451264,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.006232399125908506,""failure_streak"":0,""net_throughput"":239.6749757054032,""memory_pressure"":0.12784543931266376,""memory_growth_rate"":59916.258102818596,""cpu_container_vs_node_ratio"":0.048049342790471176}",2026-04-23 12:21:41.359171+00
03c5985b-11c5-4428-a6b4-5c96b9b6465c,1,1,2026-05-24 17:34:31.931572+00,0.512224744815789,WARNING,,"{""strategy"":""ML_CONFIRMED"",""raw_values"":{""error_rate"":0,""latency_p95"":0.011992236900000001,""latency_std"":0.0004286510000000004,""disk_io_rate"":0.003166666666705472,""memory_usage"":84936704,""restart_flag"":0,""cpu_usage_rate"":0.005881392783938579,""failure_streak"":0,""net_throughput"":221.8370883882149,""memory_pressure"":0.14870626339058593,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0.06583648638704662},""ml_confidence"":0.5122,""root_cause_analysis"":{""impact_1"":""memory_usage"",""impact_2"":""memory_pressure"",""impact_3"":""net_throughput"",""impact_1_score"":15.75,""impact_2_score"":5.08,""impact_3_score"":1.78}}",2026-05-24 12:06:03.227855+00
